PassengerId,Female,Embarked_C,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Family_Size_1,Family_Size_2,Ticket_Count_1,Ticket_Count_3,Cabin_Init_F,Cabin_Init_G,Family_Type_FT_1,Family_Type_FT_2,Fare_Per_Person_Bin_Fare_10.5,Fare_Per_Person_Bin_Fare_128.0823,Age_Bin_Pclass_Age_32_3,Age_Bin_Sex_Age_24_female,Age_Bin_Sex_Age_24_male,Age_Bin_Sex_Age_32_male,Age_Bin_Title_Age_24_Mr,Age_Bin_Title_Age_32_Mr,Age_Bin_Fare_Bin_Age_32_Fare_10.5,Fare_Bin_Pclass_Fare_10.5_3,Fare_Bin_Pclass_Fare_128.0823_1,Fare_Bin_Sex_Fare_10.5_female,Fare_Bin_Sex_Fare_10.5_male,Fare_Bin_Title_Fare_10.5_Mr,Fare_Bin_Family_Type_Fare_10.5_FT_1,Pclass_Sex_1_female,Pclass_Sex_2_male,Pclass_Sex_3_male,Pclass_Title_3_Mr,Family_Type_Parch_FT_1_0,Family_Type_Parch_FT_2_1,Family_Type_Cabin_Init_FT_1_F,Family_Type_Title_FT_1_Miss,Family_Type_Title_FT_1_Mr,Pclass,Age,SibSp,Parch,Fare_Per_Person,Num_Cabins,Parch_to_SibSp,Age_Bin_Sex_Age_80_female,Age_Bin_Title_Age_80_Mrs,Fare_Bin_Family_Type_Fare_10.5_FT_4,Family_Type_Parch_FT_5_9,Family_Type_Title_FT_1_Master
892,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,3,34.5,0,0,7.8292,1,0.0,0,0,0,0,0
893,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47.0,1,0,7.0,1,0.0,0,0,0,0,0
894,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,2,62.0,0,0,9.6875,1,0.0,0,0,0,0,0
895,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,3,27.0,0,0,8.6625,1,0.0,0,0,0,0,0
896,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,22.0,1,1,6.14375,1,1.0,0,0,0,0,0
897,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,3,14.0,0,0,9.225,1,0.0,0,0,0,0,0
898,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,3,30.0,0,0,7.6292,1,0.0,0,0,0,0,0
899,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2,26.0,1,1,9.666666666666666,1,1.0,0,0,0,0,0
900,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,18.0,0,0,7.2292,1,0.0,0,0,0,0,0
901,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,3,21.0,2,0,8.049999999999999,1,0.0,0,0,0,0,0
902,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,3,26.0,0,0,7.8958,1,0.0,0,0,0,0,0
